FACLOCID,UNITCODE,FMSS_DESCRIPTION,FMSS_PARKNUM,PARKBLDGID,BLDGNAME
Theses buildings have a PARKNUM attribute in FMSS that does not match the PARKID in GIS (which was historically populated from FMSS)
The GIS has been updated to align with FMSS.  This documents the old and new ParkIDs.
In some cases the FMSS ParkID does not match the FMSS description
In some cases the PARKID is inconsistent (hyphen or not) in a set of buildings.
In some cases (street addresses) the Park ID in GIS was more descriptive/complete
Cleanup would be nice but it needs to start in FMSS.
42574,WEAR,"Superintendent House 152, 152A",152,152 2nd Ave,"Superintendent House  152, 152A"
42575,WEAR,"4 Plex 153 A, B, C, D",153,153 2nd Ave,"4-Plex  153 A, B, C, D"
42577,WEAR,Visitor Info Ctr 154A aka Annex,154A,154A 2nd Ave,Visitor Information Center aka Annex
42579,WEAR,Residence 154 B SFU Corner House,154B,154B 2nd Ave,Corner House 154B
42581,WEAR,"Duplex 154 C, D","154 C,D",154C&D 2nd Ave,Duplex 154 C & D
42582,WEAR,EON Building 160,160,160 2nd Ave,EON Building
241900,KATM,KS - King Salmon Housing  FAA161,00FAA161,161,King Salmon Housing 161
18703,DENA,Moose Creek Cabin B19 Historic,B19,18703-B,Moose Creek Cabin Cache
18703,DENA,Moose Creek Cabin B19 Historic,B19,18703-C,Moose Creek Cabin Outhouse
00001535,DENA,HQ Duplex P252 A & B,P252,251a and 251b,Residence 251a and 251b
42588,WEAR,Bunk House 297 A,297A,297A Mission St,Bunk House
43490,GAAR,00000301 AKPB-Ranger station/residence,00000301,AKPB,Anaktuvuk Pass Ranger Station
73281,GAAR,AKPB Ranger Station/Residence Storage Shed,73281,AKPB,Anaktuvuk Pass - Ranger Station Storage Shed
43491,GAAR,00000302 AKPH-Bunk House,00000302,AKPH,Anaktuvuk Pass Bunk House
00001503,DENA,HQ Kennels Area Storage B104,B96,B104,HQ Kennels Area Storage Shed
18839,DENA,REMOVED Wonder Lake Campground Pit Toilet B131-2,B131-2,B131,Wonder Lake Campground Pit Toilet B131 OPEROBSO
18840,DENA,REMOVED Wonder Lake Campground Pit Toilet B131-1,B131-1,B132,Wonder Lake Campground Pit Toilet B132 OPEROBSO
19117,DENA,Wonder Lake Ranger Station Womens Pit Toilet B139,B139,B134,Wonder Lake Ranger Station Pit Toilet B135 OPEROBSO
19115,DENA,Wonder Lake Ranger Station Mens Pit Toilet B138,B138,B135,Wonder Lake Ranger Station Pit Toilet B134 OPEROBSO
19121,DENA,Toklat Old Pump House B226 REMOVED,226,B226,Pump House
98760,DENA,"Toklat B&U Storage Shed, B240",B666,B240,Toklat B&U Storage Shed
46494,DENA,Teklanika Rest Stop Bus Shelter B245-1,B245-1,B245,"Teklanika Rest Stop Bus Shelter #1, B245"
88656,DENA,Concessions Cabin Unit 1 S506 LSI [Gen Mgr],S506,B24-B,Toklat Ranger Staton (Kennels) Food Cache
238578,KATM,KS B3 Visitor Center Rented and Shared w USF&W Ser,KS B3 (Visitor Center),B3,King Salmon Interagency Visitor Center
18930,DENA,RCCG Caribou West Comfort Station B606 Concessions,B606,B321,Riley Creek CG Caribou Loop West Comfort Station
18931,DENA,RCCG Caribou East Comfort Station B607 Concessions,B607,B322,Riley Creek CG Caribou Loop East Comfort Station
228380,KATM,REMOVE KS B36 Storage Van,B36,B35,Outboard Engine Storage Van
83354,KATM,KS B35 Outboard Engine Storage Van,B35,B36,Storage Van ( Hold Cabin Kit & Building Supplies)
81340,DENA,HQ Area Resources Storage Shed B119,B119,B378,Interpretive Storage
00001168,KATM,KS B51-Quadplex constructed 1996,Q51,B51,Quadplex
228821,DENA,C Camp Cabin S548,S548,B548,C-Camp Cabin 548
228820,DENA,C Camp Cabin S549,S549,B549,C-Camp Cabin 549
86499,DENA,Denali Visitor Center Book Store B550,B449,B550,Denali Bookstore
228818,DENA,C Camp Cabin S550,S550,B550,C-Camp Cabin 550
228817,DENA,C Camp Cabin S551,S551,B551,C-Camp Cabin 551
228812,DENA,C Camp Cabin S552,S552,B552,C-Camp Cabin 552
98937,DENA,Toklat River Rest Area SST #7 B563,B563,B557,Toklat River Rest Area SST #7 B563 REMOVED
97627,DENA,Toklat River Rest Area SST #4 B560,B560,B558,Toklat River Rest Area SST #4 B560  REMOVED
97682,DENA,Toklat River Rest Area SST #6 B562,B562,B559,Toklat River Rest Area SST #6 B562 REMOVED
97626,DENA,Toklat River Rest Area SST #3 B559,B559,B560,Toklat River Rest Area SST #3 B559 REMOVED
97625,DENA,Toklat River Rest Area SST #2 B558,B558,B561,Toklat River Rest Area SST #2 B558  REMOVED
97679,DENA,Toklat River Rest Area SST #5 B561,B561,B562,Toklat River Rest Area SST #5 B561  REMOVED
97622,DENA,"Toklat River Rest Area SST #1, B557",B557,B563,"Toklat River Rest Area SST's, 7 Units"
110771,DENA,C Camp Cabin S584,S584,B584,Q-584 C Camp Cabin S584 FY08 STW ADA
110772,DENA,C Camp Cabin S585,S585,B585,Cabin S585
226507,DENA,Over and Out Building B911 (Shaffer Annex),B911,B592,Over & Out
228806,DENA,C Camp Cabin S592,S592,B592,C Camp Cabin 592
228810,DENA,C Camp Cabin S593,S593,B593,C Camp Cabin 593
228834,DENA,C Camp Cabin S599,S599,B599,C-Camp Cabin 599
228835,DENA,C Camp Cabin S600,S600,B600,C-Camp Cabin 600
243237,KATM,"KS KATM, ANIA, ALAG Headquarters, Suite 7, Bldg 603","Suite 7, BLDG. 603 USAF Base King Salmon",B603,Headquarters on Silver St. Suite 7
113033,DENA,Mountain Vista SST B623-2,B623--2,B623-2,Mountain Vista SST#2
113044,DENA,Mountain Vista SST B623-4,B623-,B623-4,Mountain Vista SST#4
19133,DENA,"Toklat Roads Small Engine Shed, B666",B240,B666,Toklat Roads Small Engine Shed
245136,DENA,"Toklat Sauna, B61",B61,B666,Toklat Sauna
46497,DENA,"Toklat Federal Highways Office and Quarters, B89A",B89-A,B89A,FHWY Quarters South
46498,DENA,"Toklat Federal Highways Quarters, B89B",B89-B,B89B,FHWY Quarters
243016,DENA,HQ Air Quality Instrument Trailer B372,B372,B93,Air Quality Shed
18747,DENA,Teklanika MSLC Camp Food Locker B608,B608,B93,The FEATS
53670,KATM,BR-27  BC Barabara Exhibit Building,CS-1,BR-27,Barabara Exhibit Building
38422,KATM,BR-38 BC Ranger Station,BR38,BR-38,Ranger Station
53641,KATM,BR-40  Ranger Cache,BR40,BR-40,Ranger Cache
38408,KATM,BR - Brooks Camp Quarters BR41,BR41,BR-41,Quarters
38409,KATM,BR - Brooks Camp Quarters BR42,BR42,BR-42,Quarters
38410,KATM,BR - Brooks Camp Quarters BR43,BR43,BR-43,Brooks Camp Quarters
38411,KATM,BR - Brooks Camp Quarters BR46,BR46,BR-46,Brooks Camp Quarters
38412,KATM,BR-47  Brooks Camp Quarters,BR47,BR-47,Brooks Camp Quarters
38413,KATM,BR-48 Brooks Camp Quarters,BR48,BR-48,Brooks Camp Quarters
38414,KATM,BR -Brooks Camp Quarters BR49,BR49,BR-49,Brooks Camp Quarters
38415,KATM,BR - Brooks Camp Quarters BR50,BR50,BR-50,Brooks Camp Quarters
90879,KATM,BR-54 Propane/Dry Storage Bldg,BR13,BR-54,Propane/Dry Storage Bldg
99559,KATM,BR-OH Outhouse and Thinking Seat (for Hard Sided Wall Tents),BL-OH,BR-OH,Outhouse and Thinking Seat (for Hard Sided Wall Tents)
38416,KATM,BR-T1 Brooks Camp Quarters (Hard Sided Wall Tent ),BRT1,BR-T1,Brooks Camp Quarters (Hard Sided Wall Tent )
38417,KATM,BR-T2 Brooks Camp Quarters (Hard sided wall tent),BRT2,BR-T2,Brooks Camp Quarters (Hard Sided Wall Tent )
38418,KATM,BR-T3 Brooks Camp Quarters (Hard sided wall tent),BRT3,BR-T3,Brooks Camp Quarters (Hard Sided Wall Tent )
38419,KATM,BR-T4  Brooks Camp Quarters (hard sided wall tent),BRT4,BR-T4,Brooks Camp Quarters (Hard Sided Wall Tent )
90895,KATM,BR-T5 Brooks Camp Quarters (Hilton),0000BRT5,BR-T5,Brooks Camp Quarters (Hilton)
00001547,DENA,Q-159 C Camp Cabin S159 REMOVED,159,Cabin S179,Q-159 C Camp Cabin S159 REMOVED
00001546,DENA,Q-158 C Camp Cabin S158 REMOVED,158,Cabin S180,Q-158 C Camp Cabin S158 REMOVED
00001543,DENA,Q-157 C Camp Cabin S157 REMOVED,157,Cabin S181,Q-157 C Camp Cabin S157 REMOVED
00001534,DENA,Q-153 C Camp Cabin S153 REMOVED,153,Cabin S182,Q-153 C Camp Cabin S153 REMOVED
42550,GLBA,HA - Storage Building - GBA10,10,GBA10,Housing Storage
86757,GLBA,MA - Maintenance Covered Parking and Storage Building GBA130,86757,GBA130,Maintenance Covered Parking and Storage
42557,GLBA,IP - Indian Point Wellhouse Building GBA29,42551,GBA29,Indian Point Wellhouse
42644,GLBA,LA - Lodge Service Building GBL17,GBL-17,GBL17,Lodge Service Building
226564,GLBA,LH - Staff Kitchen Dry Storage Annex GBL71A,P003,GBL71A,Lodge Staff Kitchen Dry Storage Annex
87973,GLBA,DB - VIP Cabin GBQ105,GBA105,GBQ105,Dry Bay VIP Cabin
