Location,Park,Description,Status,GIS_Lon,GIS_Lat,FMSS_Lat,FMSS_Lon,Dist_m
00001519,DENA,HQ Historic Superintendents Cabin B22,OPERATING,-148.96654,63.72105,+63.722131,-148.965308,134.960835593141
109716,DENA,REMOVED Maintenance HazMat Storage Container B582,OPERATING,-148.9594,63.72531,+63.725391,-148.958050,67.1183145187924
111058,YUCH,BC Washington Creek Cabin,OPERATING,-142.31819,65.31102,+65.324299,-142.364360,2612.43394212717
114766,GLBA,HA - Propane Heating Fuel System GBQ81-83,OPERATING,-135.8765,58.45495,NULL,NULL,NULL
19139,DENA,HQ Interpretation Storage B379,OPERATING,-148.96202,63.71965,+63.722700,-148.957890,396.416628059689
234951,KLGO,Finnegan's Point Campground Outhouse,OPERATING,-135.33499,59.57557,NULL,NULL,NULL
227955,YUCH,FOJU 4th of July Blacksmith Shop,OPERATING,-141.98713,65.13467,+65.134690,-141.988358,57.5341746134834
228811,DENA,C Camp Cabin S596,OPERATING,-148.9593,63.72275,NULL,NULL,NULL
228813,DENA,C Camp Cabin S597,OPERATING,-148.95919,63.72268,NULL,NULL,NULL
228814,DENA,C Camp Cabin S594,OPERATING,-148.95953,63.72288,NULL,NULL,NULL
228824,DENA,C Camp Cabin S595,OPERATING,-148.95941,63.72283,NULL,NULL,NULL
228825,DENA,C Camp Cabin S598,OPERATING,-148.95908,63.72261,NULL,NULL,NULL
229101,DENA,Wonder Lake Campground Host SST B647,OPERATING,-150.86418,63.45444,NULL,NULL,NULL
229102,DENA,Wonder Lake North SST B648,OPERATING,-150.8935,63.4985,NULL,NULL,NULL
230049,YUCH,Eagle Hilltop House Heating Oil Fuel System,OPERATING,-141.22345,64.78059,NULL,NULL,NULL
232281,GAAR,NOAL-001 Nelson Walker/Isiak EM Shelter/Patrol CBN,OPERATING,-156.14121,67.71881,+67.830243,-156.393384,16366.9612509115
234418,DENA,"Igloo Campground Cook Shelter, B650, Concessions",OPERATING,-149.58332,63.60969,NULL,NULL,NULL
234419,DENA,"Sanctuary Campground Cook Shelter, B649 Concessions",OPERATING,-149.47336,63.72182,NULL,NULL,NULL
234939,KLGO,Canyon City Campground North Moldering Toilet,OPERATING,-135.32453,59.60758,NULL,NULL,NULL
234946,KLGO,Canyon City Campground South Moldering Toilet,OPERATING,-135.32452,59.60756,NULL,NULL,NULL
235939,KLGO,Warming Tent Canyon City (7.77 MI),OPERATING,-135.32465,59.60745,NULL,NULL,NULL
242881,DENA,Front Country Wastewater System Storage Bldg B638,OPERATING,-148.88854,63.73128,NULL,NULL,NULL
243269,YUCH,Smith Forty Mile Public Use Cabin,OPERATING,-143.55643,65.42705,NULL,NULL,NULL
